id,ndex,species,forme,type1,type2,ability1,ability2,abilityH,hp,attack,defense,spattack,spdefense,speed,total,weight,height,dex1,dex2,class,percent-male,percent-female,pre-evolution,egg-group1,egg-group2
741,741,Oricorio,Oricorio (Baile Style),Fire,Flying,'Dancer','Dancer','Dancer',75,70,70,98,70,93,476,7.5 lbs.,"2'00""","It beats its wings together to create fire. As it moves in the steps of its beautiful dance, it bathes opponents in intense flames.",This Oricorio has sipped red nectar. Its passionate dance moves cause its enemies to combust in both body and mind.,Dancing Pokémon,0.25,0.75,,Flying,
742,742,Cutiefly,Cutiefly,Bug,Fairy,'Honey Gather','Shield Dust','Sweet Veil',40,45,40,55,40,84,304,0.4 lbs.,"0'04""","It feeds on the nectar and pollen of flowers. Because it's able to sense auras, it can identify which flowers are about to bloom.",Myriads of Cutiefly flutter above the heads of people who have auras resembling those of flowers.,Bee Fly Pokémon,0.5,0.5,,Bug,Fairy
743,743,Ribombee,Ribombee,Bug,Fairy,'Honey Gather','Shield Dust','Sweet Veil',60,55,60,95,70,124,464,1.1 lbs.,"0'08""","It rolls up pollen into puffs. It makes many different varieties, some used as food and others used in battle.",Some of Ribombee's pollen puffs are highly nutritious. They are sometimes sold as supplements.,Bee Fly Pokémon,0.5,0.5,Cutiefly,Bug,Fairy
744,744,Rockruff,Rockruff,Rock,,'Keen Eye','Vital spirit','Steadfast',45,65,40,30,40,60,280,20.3 lbs.,"1'08""","It's considered to be a good Pokémon for beginners because of its friendliness, but its disposition grows rougher as it grows up.",This Pokémon has lived with people since times long ago. It can sense when its Trainer is in the dumps and will stick close by its Trainer's side.,Puppy Pokémon,0.5,0.5,,Field,
745,745,Lycanroc,Lycanroc (Midday Form),Rock,,'Keen Eye','Sand Rush','Steadfast',75,115,65,55,65,112,487,55.1 lbs.,"2'07""","Its quick movements confuse its enemies. Well equipped with claws and fangs, it also uses the sharp rocks in its mane as weapons.","When properly raised from a young age, it will become a trustworthy partner that will absolutely never betray its Trainer.",Wolf Pokémon,0.5,0.5,Rockruff,Field,
746,746,Wishiwashi,Wishiwashi (Solo Form),Water,,'Schooling','Schooling','Schooling',45,20,20,25,25,40,175,0.7 lbs.,"0'08""","When it's in trouble, its eyes moisten and begin to shine. The shining light attracts its comrades, and they stand together against their enemies.","It's awfully weak and notably tasty, so everyone is always out to get it. As it happens, anyone trying to bully it receives a painful lesson.",Small Fry Pokémon,0.5,0.5,,Water 2,
747,747,Mareanie,Mareanie,Poison,Water,'Merciless','Limber','Regenerator',50,53,62,43,52,45,305,17.6 lbs.,"1'04""","It plunges the poison spike on its head into its prey. When the prey has weakened, Mareanie deals the finishing blow with its 10 tentacles.",It's found crawling on beaches and seafloors. The coral that grows on Corsola's head is as good as a five-star banquet to this Pokémon.,Brutal Star Pokémon,0.5,0.5,,Water 1,
748,748,Toxapex,Toxapex,Poison,Water,'Merciless','Limber','Regenerator',50,63,152,53,142,35,495,32.0 lbs.,"2'04""",Toxapex crawls along the ocean floor on its 12 legs. It leaves a trail of Corsola bits scattered in its wake.,"Those attacked by Toxapex's poison will suffer intense pain for three days and three nights. Post-recovery, there will be some aftereffects.",Brutal Star Pokémon,0.5,0.5,Mareanie,Water 2,
749,749,Mudbray,Mudbray,Ground,,'Own Tempo','Stamina','Inner Focus',70,100,70,45,55,45,385,242.5 lbs.,"3'03""",The mud stuck to Mudbray's hooves enhances its grip and its powerful running gait.,"It has a stubborn, individualistic disposition. Eating dirt, making mud, and playing in the mire all form part of its daily routine.",Donkey Pokémon,0.5,0.5,,Field,
750,750,Mudsdale,Mudsdale,Ground,,'Own Tempo','Stamina','Inner Focus',100,125,100,55,85,35,500,2028.3 lbs.,"8'02""","It spits a mud that provides resistance to both wind and rain, so the walls of old houses were often coated with it.","Its heavy, mud-covered kicks are its best means of attack, and it can reduce large trucks to scrap without breaking a sweat.",Draft Horse Pokémon,0.5,0.5,Mudbray,Field,
751,751,Dewpider,Dewpider,Water,Bug,'Water Bubble','Water Bubble','Water Absorb',38,40,52,40,72,27,269,8.8 lbs.,"1'00""",It crawls onto the land in search of food. Its water bubble allows it to breathe and protects its soft head.,"When it comes across enemies or potential prey, this Pokémon smashes its water-bubble-covered head into them.",Water Bubble Pokémon,0.5,0.5,,Water 1,Bug
752,752,Araquanid,Araquanid,Water,Bug,'Water Bubble','Water Bubble','Water Absorb',68,70,92,50,132,42,454,180.8 lbs.,"5'11""","It delivers headbutts with the water bubble on its head. Small Pokémon get sucked into the bubble, where they drown.","Despite what its appearance suggests, it cares for others. If it finds vulnerable, weak Pokémon, it protectively brings them into its water bubble.",Water Bubble Pokémon,0.5,0.5,Dewpider,Water 2,Bug
753,753,Fomantis,Fomantis,Grass,,'Leaf Guard','Leaf Guard','Contrary',40,55,35,50,35,35,250,3.3 lbs.,"1'00""","During the day, it sleeps and soaks up light. When night falls, it walks around looking for a safer place to sleep.",They give off a sweet and refreshing scent. Cutiefly often gather near the tall grass where Fomantis are hiding.,Sickle Grass Pokémon,0.5,0.5,,Grass,
754,754,Lurantis,Lurantis,Grass,,'Leaf Guard','Leaf Guard','Contrary',70,105,90,80,90,45,480,40.8 lbs.,"2'11""","It requires a lot of effort to maintain Lurantis's vivid coloring, but some collectors enjoy this work and treat it as their hobby.",It fires beams from its sickle-shaped petals. These beams are powerful enough to cleave through thick metal plates.,Bloom Sickle Pokémon,0.5,0.5,Fomantis,Grass,
755,755,Morelull,Morelull,Grass,Fairy,'Illuminate','Effect Spore','Rain Dish',40,35,55,65,75,15,285,3.3 lbs.,"0'08""",It scatters spores that flicker and glow. Anyone seeing these lights falls into a deep slumber.,"As it drowses the day away, it nourishes itself by sucking from tree roots. It wakens at the fall of night, wandering off in search of a new tree.",Illuminating Pokémon,0.5,0.5,,Grass,
756,756,Shiinotic,Shiinotic,Grass,Fairy,'Illuminate','Effect Spore','Rain Dish',60,45,80,90,100,30,405,25.4 lbs.,"3'03""",Forests where Shiinotic live are treacherous to enter at night. People confused by its strange lights can never find their way home again.,"It emits flickering spores that cause drowsiness. When its prey succumb to sleep, this Pokémon feeds on them by sucking in their energy.",Illuminating Pokémon,0.5,0.5,Morelull,Grass,
757,757,Salandit,Salandit,Poison,Fire,'Corrosion','Corrosion','Oblivious',48,44,40,71,40,77,320,10.6 lbs.,"2'00""","It burns its bodily fluids to create a poisonous gas. When its enemies become disoriented from inhaling the gas, it attacks them.","Volcanoes or dry, craggy places are its home. It emanates a sweet-smelling poisonous gas that attracts bug Pokémon, then attacks them.",Toxic Lizard Pokémon,0.875,0.125,,Monster,Dragon
758,758,Salazzle,Salazzle,Poison,Fire,'Corrosion','Corrosion','Oblivious',68,64,60,111,60,117,480,48.9 lbs.,"3'11""","For some reason, only females have been found. It creates a reverse harem of male Salandit that it lives with.","Filled with pheromones, its poisonous gas can be diluted to use in the production of luscious perfumes.",Toxic Lizard Pokémon,0,1,Sandalit,Monster,Dragon
759,759,Stufful,Stufful,Normal,Fighting,'Fluffy','Klutz','Cute Charm',70,75,50,45,50,50,340,15.0 lbs.,"1'08""","Despite its adorable appearance, when it gets angry and flails about, its arms and legs could knock a pro wrestler sprawling.",A touch from anyone except a known friend sends it into a surging frenzy. It's an incredibly dangerous Pokémon.,Flailing Pokémon,0.5,0.5,,Field,
760,760,Bewear,Bewear,Normal,Fighting,'Fluffy','Klutz','Unnerve',120,125,80,55,60,60,500,297.6 lbs.,"6'11""",This immensely dangerous Pokémon possesses overwhelming physical strength. Its habitat is generally off-limits.,This Pokémon has the habit of hugging its companions. Many Trainers have left this world after their spines were squashed by its hug.,Strong Arm Pokémon,0.5,0.5,Stufful,Field,
761,761,Bounsweet,Bounsweet,Grass,,'Leaf Guard','Oblivious','Sweet Veil',42,30,38,30,38,32,210,7.1 lbs.,"1'00""",A delectable aroma pours from its body. They are often swallowed whole by Toucannon lured by that wafting deliciousness.,"Although it's too sugary for human consumption, Bounsweet's sweat can be watered down into a juice with just the right amount of sweetness.",Fruit Pokémon,0,1,,Grass,
762,762,Steenee,Steenee,Grass,,'Leaf Guard','Oblivious','Sweet Veil',52,40,48,40,48,62,290,18.1 lbs.,"2'04""","The sepals on its head developed to protect its body. These are quite hard, so even if pecked by bird Pokémon, this Pokémon is totally fine.",This Pokémon is always bouncing around energetically. Other Pokémon are attracted by its lively appearance and pleasant aroma.,Fruit Pokémon,0,1,Bounsweet,Grass,
763,763,Tsareena,Tsareena,Grass,,'Leaf Guard','Queenly Majesty','Sweet Veil',72,120,98,50,98,72,510,47.2 lbs.,"3'11""","Its long, striking legs aren't just for show but to be used to kick with skill. In victory, it shows off by kicking the defeated, laughing boisterously.","A Pokémon known for the beauty of its well-shaped legs, it sometimes appears as a mascot in advertisements for beauty salons.",Fruit Pokémon,0,1,Steenee,Grass,
764,764,Comfey,Comfey,Fairy,,'Flower Veil','Triage','Natural Cure',51,52,90,82,110,100,485,0.7 lbs.,"0'04""","It attaches flowers to its highly nutritious vine. This revitalizes the flowers, and they give off an aromatic scent.","Baths prepared with the flowers from its vine have a relaxing effect, so this Pokémon is a hit with many people.",Posy Picker Pokémon,0.25,0.75,,Grass,
765,765,Oranguru,Oranguru,Normal,Psychic,'Inner Focus','Telepahty','Symbiosis',90,60,80,90,110,60,490,167.6 lbs.,"4'11""","Known for its extreme intelligence, this Pokémon will look down on inexperienced Trainers, so it's best suited to veteran Trainers.","Deep in the jungle, high in the lofty canopy, this Pokémon abides. On rare occasions, it shows up at the beach to match wits with Slowking.",Sage Pokémon,0.5,0.5,,Field,
766,766,Passimian,Passimian,Fighting,,'Receiver','Receiver','Defiant',100,120,90,40,60,80,490,182.5 lbs.,"6'07""",They form groups of roughly 20 individuals. Their mutual bond is remarkableâ€”they will never let down a comrade.,"They battle with hard berries for weapons. Their techniques are passed from the boss to the group, generation upon generation.",Teamwork Pokémon,0.5,0.5,,Field,
767,767,Wimpod,Wimpod,Bug,Water,'Wimp Out','Wimp Out','Wimp Out',25,35,40,20,30,80,230,26.5 lbs.,"1'08""","This Pokémon is a coward. As it desperately dashes off, the flailing of its many legs leaves a sparkling clean path in its wake.","Its habitat varies from beaches to seabeds. A natural scavenger, it will gleefully chow down on anything edible, no matter how rotten.",Turn Tail Pokémon,0.5,0.5,,Bug,Water 3
768,768,Golisopod,Golisopod,Bug,Water,'Emergency Exit','Emergency Exit','Emergency Exit',75,125,140,60,90,40,530,238.1 lbs.,"6'07""","With a flashing slash of its giant sharp claws, it cleaves seawaterâ€”or even airâ€”right in two.","It battles skillfully with its six arms, but spends most of its time peacefully meditating in caves deep beneath the sea.",Hard Scale Pokémon,0.5,0.5,Wimpod,Bug,Water 3
769,769,Sandygast,Sandygast,Ghost,Ground,'Water Compaction','Water Compaction','Sand Veil',55,55,80,70,45,15,320,154.3 lbs.,"1'08""","Born from a sand mound playfully built by a child, this Pokémon embodies the grudges of the departed.",It takes control of anyone who puts a hand in its mouth. And so it adds to the accumulation of its sand-mound body.,Sand Heap Pokémon,0.5,0.5,,Amorphous,
770,770,Palossand,Palossand,Ghost,Ground,'Water Compaction','Water Compaction','Sand Veil',85,75,110,100,75,35,480,551.2 lbs.,"4'03""","Possessed people controlled by this Pokémon transformed its sand mound into a castle. As it evolved, its power to curse grew ever stronger.",Buried beneath the castle are masses of dried-up bones from those whose vitality it has drained.,Sand Castle Pokémon,0.5,0.5,Sandygast,Amorphous,
771,771,Pyukumuku,Pyukumuku,Water,,'Innards Out','Innards Out','Unaware',55,60,130,30,130,5,410,2.6 lbs.,"1'00""","It lives in shallow seas, such as areas near a beach. It can eject its internal organs, which it uses to engulf its prey or battle enemies.",These Pokémon line the beaches. The sticky mucous that covers their bodies can be used to soothe sunburned skin. How convenient!,Sea Cucumber Pokémon,0.5,0.5,,Water 1,
772,772,Type: Null,Type: Null,Normal,,'Battle Armor','Battle Armor','Battle Armor',95,95,95,95,95,59,534,265.7 lbs.,"6'03""",The heavy control mask it wears suppresses its intrinsic capabilities. This Pokémon has some hidden special power.,"Due to the danger that this synthetic Pokémon may go on a rampage, it wears a control mask to restrain its power.",Synthetic Pokémon,,,,Undiscovered,
773,773,Silvally,Silvally (Type: Normal),Normal,,'RKS System','RKS System','RKS System',95,95,95,95,95,95,570,221.6 lbs.,"7'07""","Its trust in its partner is what awakens it. This Pokémon is capable of changing its type, a flexibility that is well displayed in battle.","Although its name was Type: Null at first, the boy who evolved it into this form gave it the name by which it is now known.",Synthetic Pokémon,,,Type: Null,Undiscovered,
774,774,Minior,Minior (Meteor Form),Rock,Flying,'Shields Down','Shields Down','Shields Down',60,60,100,60,100,60,440,88.2 lbs.,"1'00""","Originally making its home in the ozone layer, it hurtles to the ground when the shell enclosing its body grows too heavy.",Strong impacts can knock it out of its shell. This Pokémon was born from mutated nanoparticles.,Meteor Pokémon,,,,Mineral,
775,775,Komala,Komala,Normal,,'Comatose','Comatose','Comatose',65,115,65,75,95,65,480,43.9 lbs.,"1'04""","It is born asleep, and it dies asleep. All its movements are apparently no more than the results of it tossing and turning in its dreams.",The log it holds was given to it by its parents at birth. It has also been known to cling to the arm of a friendly Trainer.,Drowsing Pokémon,0.5,0.5,,Field,
776,776,Turtonator,Turtonator,Fire,Dragon,'Shell Armor','Shell Armor','Shell Armor',60,78,135,91,85,36,485,467.4 lbs.,"6'07""",The shell on its back is chemically unstable and explodes violently if struck. The hole in its stomach is its weak point.,It gushes fire and poisonous gases from its nostrils. Its dung is an explosive substance and can be put to various uses.,Blast Turtle Pokémon,0.5,0.5,,Monster,Dragon
777,777,Togedemaru,Togedemaru,Electric,Steel,'Iron Barbs','Lightning Rod','Sturdy',65,98,63,40,73,96,435,7.3 lbs.,"1'00""","The spiny fur on its back is normally at rest. When this Pokémon becomes agitated, its fur stands on end and stabs into its attackers.",The long hairs on its back act as lightning rods. The bolts of lightning it attracts are stored as energy in its electric sac.,Roly-Poly Pokémon,0.5,0.5,,Field,Fairy
778,778,Mimikyu,Mimikyu (Disguised Form),Ghost,Fairy,'Disguise','Disguise','Disguise',55,90,80,50,105,96,476,1.5 lbs.,"0'08""",Its actual appearance is unknown. A scholar who saw what was under its rag was overwhelmed by terror and died from the shock.,"A lonely Pokémon, it conceals its terrifying appearance beneath an old rag so it can get closer to people and other Pokémon.",Disguise Pokémon,0.5,0.5,,Amorphous,
779,779,Bruxish,Bruxish,Water,Psychic,'Dazzling','Strong Jaw','Wonder Skin',68,105,70,70,70,92,475,41.9 lbs.,"2'11""","When it unleashes its psychic power from the protuberance on its head, the grating sound of grinding teeth echoes through the area.",It stuns its prey with psychokinesis and then grinds them to mush with its strong teeth. Even Shellder's shell is no match for it.,Gnash Teeth Pokémon,0.5,0.5,,Water 2,
780,780,Drampa,Drampa,Normal,Dragon,'Berserk','Sap Sipper','Cloud Nine',78,60,85,135,91,36,485,407.9 lbs.,"9'10""","It has a compassionate personality, but if it is angered, it completely destroys its surroundings with its intense breath.",This Pokémon is friendly to people and loves children most of all. It comes from deep in the mountains to play with children it likes in town.,Placid Pokémon,0.5,0.5,,Monster,Dragon
781,781,Dhelmise,Dhelmise,Ghost,Grass,'Steelworker','Steelworker','Steelworker',70,131,100,86,90,40,517,463.0 lbs.,"12'10""","Swinging its massive anchor, it can KO Wailord in a single blow. What appears to be green seaweed is actually its body.",The soul of seaweed adrift in the waves became reborn as this Pokémon. It maintains itself with new infusions of seabed detritus and seaweed.,Sea Creeper Pokémon,,,,Mineral,
782,782,Jangmo-o,Jangmo-o,Dragon,,'Bulletproof','Soundproof','Overcoat',45,55,65,45,45,45,300,65.5 lbs.,"2'00""",It expresses its feelings by smacking its scales. Metallic sounds echo through the tall mountains where Jangmo-o lives.,They live in mountains where no trace of humans can be detected. Jangmo-o grow little by little as they battle one another.,Scaly Pokémon,0.5,0.5,,Dragon,
783,783,Hakamo-o,Hakamo-o,Dragon,Fighting,'Bulletproof','Soundproof','Overcoat',55,75,90,65,70,65,420,103.6 lbs.,"3'11""",It leaps at its prey with a courageous shout. Its scaly punches tear its opponents to shreds.,It sheds and regrows its scales on a continuous basis. The scales become harder and sharper each time they're regrown.,Scaly Pokémon,0.5,0.5,Jangmo-o,Dragon,
784,784,Kommo-o,Kommo-o,Dragon,Fighting,'Bulletproof','Soundproof','Overcoat',75,110,125,100,105,85,600,172.4 lbs.,"5'03""","When it spots enemies, it threatens them by jingling the scales on its tail. Weak opponents will crack and flee in panic.","Its rigid scales function as offense and defense. In the past, its scales were processed and used to make weapons and other commodities.",Scaly Pokémon,0.5,0.5,Hakamo-o,Dragon,
785,785,Tapu Koko,Tapu Koko,Electric,Fairy,'Electric Surge','Electric Surge','Telepathy',70,115,85,95,75,130,570,45.2 lbs.,"5'11""",This guardian deity of Melemele is brimming with curiosity. It summons thunderclouds and stores their lightning inside its body.,It confuses its enemies by flying too quickly for the eye to follow. It has a hair-trigger temper but forgets what made it angry an instant later.,Land Spirit Pokémon,,,,Undiscovered,
786,786,Tapu Lele,Tapu Lele,Psychic,Fairy,'Psychic Surge','Psychic Surge','Telepathy',70,85,75,130,115,95,570,41.0 lbs.,"3'11""",This guardian deity of Akala is guilelessly cruel. The fragrant aroma of flowers is the source of its energy.,"As it flutters about, it scatters its strangely glowing scales. Touching them is said to restore good health on the spot.",Land Spirit Pokémon,,,,Undiscovered,
787,787,Tapu Bulu,Tapu Bulu,Grass,Fairy,'Grassy Surge','Grassy Surge','Telepathy',70,130,115,85,95,75,570,100.3 lbs.,"6'03""","It pulls large trees up by the roots and swings them around. It causes vegetation to grow, and then it absorbs energy from the growth.",The guardian deity of Ula'ula is a lazy Pokémon. It commands plants to immobilize its foes and then deals them a savage blow with its horns.,Land Spirit Pokémon,,,,Undiscovered,
788,788,Tapu Fini,Tapu Fini,Water,Fairy,'Misty Surge','Misty Surge','Telepathy',70,75,115,95,130,85,570,46.7 lbs.,"4'03""",The dense fog it creates brings the downfall and destruction of its confused enemies. Ocean currents are the source of its energy.,"The guardian deity of Poni, it can control water. People say it can create pure water that will wash away any uncleanness.",Land Spirit Pokémon,,,,Undiscovered,
789,789,Cosmog,Cosmog,Psychic,,'Unaware','Unaware','Unaware',43,29,31,29,31,37,200,0.2 lbs.,"0'08""",Its body is gaseous and frail. It slowly grows as it collects dust from the atmosphere.,"In ages past, it was called the child of the stars. It's said to be a Pokémon from another world, but no specific details are known.",Nebula Pokémon,,,,Undiscovered,
790,790,Cosmoem,Cosmoem,Psychic,,'Sturdy','Sturdy','Sturdy',43,29,131,29,131,37,400,2204.4 lbs.,"0'04""","Motionless as if dead, its body is faintly warm to the touch. In the distant past, it was called the cocoon of the stars.",There's something accumulating around the black core within its hard shell. People think this Pokémon may come from another world.,Protostar Pokémon,,,Cosmog,Undiscovered,
791,791,Solgaleo,Solgaleo,Psychic,Steel,'Full Metal Body','Full Metal Body','Full Metal Body',137,137,107,113,89,97,680,507.1 lbs.,"11'02""",It is said to live in another world. The intense light it radiates from the surface of its body can make the darkest of nights light up like midday.,"This Pokémon is said to be a male evolution of Cosmog. At the activation of its third eye, it departs for another world.",Sunne Pokémon,,,Cosmoem,Undiscovered,
792,792,Lunala,Lunala,Psychic,Ghost,'Shadow Shield','Shadow Shield','Shadow Shield',137,113,89,137,107,97,680,264.6 lbs.,"13'01""","It is said to be a female evolution of Cosmog. When its third eye activates, away it flies to another world.","Said to live in another world, this Pokémon devours light, drawing the moonless dark veil of night over the brightness of day.",Moone Pokémon,,,Cosmoem,Undiscovered,
793,793,Nihilego,Nihilego,Rock,Poison,'Beast Boost','Beast Boost','Beast Boost',109,53,47,127,131,103,570,122.4 lbs.,"3'11""",One of several mysterious Ultra Beasts. People on the street report observing those infested by it suddenly becoming violent.,"One of the Ultra Beasts. It's unclear whether or not this Pokémon is sentient, but sometimes it can be observed behaving like a young girl.",Parasite Pokémon,,,,Undiscovered,
794,794,Buzzwole,Buzzwole,Bug,Fighting,'Beast Boost','Beast Boost','Beast Boost',107,139,139,53,53,79,570,735.5 lbs.,"7'10""","This Ultra Beast appeared from another world. It shows off its body, but whether that display is a boast or a threat remains unclear.",A mysterious life-form called an Ultra Beast. Witnesses saw it pulverize a dump truck with a single punch.,Swollen Pokémon,,,,Undiscovered,
795,795,Pheromosa,Pheromosa,Bug,Fighting,'Beast Boost','Beast Boost','Beast Boost',71,137,37,137,37,151,570,55.1 lbs.,"5'11""","One of the dangerous Ultra Beasts, it has been spotted running across the land at terrific speeds.","One of the Ultra Beasts. It refuses to touch anything, perhaps because it senses some uncleanness in this world.",Lissome Pokémon,,,,Undiscovered,
